Name;Parent category;Active
Klasyczne kostki;Produkty;1
Układanki;Produkty;1
Akcesoria;Produkty;1
Hobby;Produkty;1
Naklejki;Produkty;1
Outlet;Produkty;1
Smary;Produkty;1
