kategoria,nazwa,cena,opis,zdjecie,zdjecie2,zdjecie3,zdjecie_jpg,zdjecie2_jpg,zdjecie3_jpg
Akcesoria-Części zamienne,X-Man Tornado V3/V4 Core Arm Part,"4,99 zł",Pojedyncze ramię pasujące do wszystkich wersji Tornado v3 oraz Tornado v4.,https://strefa-kostek.pl/34517-home_default/x-man-tornado-v3v4-core-arm-part.jpg,https://strefa-kostek.pl/34516-thickbox_default/x-man-tornado-v3v4-core-arm-part.jpg,https://strefa-kostek.pl/34517-thickbox_default/x-man-tornado-v3v4-core-arm-part.jpg,Akcesoria_Części zamienne-images\image_8_1.jpg,Akcesoria_Części zamienne-images\image_8_2.jpg,Akcesoria_Części zamienne-images\image_8_3.jpg
Akcesoria-Inne,MoYu Bag,"54,99 zł","Poręczna torba, kt&oacute;ra idealnie nada się do transportu kostek oraz akcesori&oacute;w. Jest ona nieco większa od torby od firmy QiYi, dzięki czemu można zmieścić w niej nawet do 25 kostek (3x3) oraz kilka akcesori&oacute;w. W zestawie dołączona jest smycz na ramie z możliwością regulacji.&nbsp;Wewnątrz torby znajduje się dodatkowa siateczkowa przegr&oacute;dka.&nbsp;",https://strefa-kostek.pl/21957-home_default/moyu-bag.jpg,https://strefa-kostek.pl/21957-thickbox_default/moyu-bag.jpg,https://strefa-kostek.pl/12111-thickbox_default/moyu-bag.jpg,Akcesoria_Inne-images\image_0_1.jpg,Akcesoria_Inne-images\image_0_2.jpg,Akcesoria_Inne-images\image_0_3.jpg
Akcesoria-Inne,QiYi Bag,"59,99 zł","Jest to druga generacja torby od firmy  MoFangGe . &nbsp;  Materiał, z kt&oacute;rego została wykonana, jest dokładnie taki sam jak w przypadku plecaka od&nbsp;   MFG   . Torba jest stosunkowo pojemna, dodatkowo mając parę możliwych miejsc do ulokowania swojego bagażu.    Torba ma jedną kieszeń gł&oacute;wną podzieloną na mniejsze sektory, kt&oacute;ra jest otwierana przez dwa zamki błyskawiczne. Wewnątrz mamy podział na aż cztery sektory. Mamy dużą siatkę np. na identyfikator oraz większe rzeczy, mamy specjalne uchwyty na smary czy markery, mniejszy sektor na kostki z gumowo-materiałowym paskiem zapinanym na rzep, małą płaską kieszeń zamykaną na zamek błyskawiczny, oraz mały sektor&nbsp;  zabezpieczony częściowo siatką. Do torby dołączony jest regulowany pasek z dwoma klamrami.    Szwy oraz materiał nie pozostawia wątpliwości, że mamy tutaj do czynienia z produktem wysokiej rangi.",https://strefa-kostek.pl/28587-home_default/qiyi-bag.jpg,https://strefa-kostek.pl/28587-thickbox_default/qiyi-bag.jpg,https://strefa-kostek.pl/28588-thickbox_default/qiyi-bag.jpg,Akcesoria_Inne-images\image_1_1.jpg,Akcesoria_Inne-images\image_1_2.jpg,Akcesoria_Inne-images\image_1_3.jpg
Akcesoria-Inne,Magnesy neodymowe walcowe (50 szt),"16,99 zł","Zestaw 50 szt magnes&oacute;w neodymowych klasy N35. 
 Szeroka gama rozmiar&oacute;w pozwala na zmagnetyzowanie każdej kostki: 
  Magnes neodymowy walcowy&nbsp;3x1.5 mm  
 3x1.5 mm pasują idealnie do magnesowania wewnętrznych warstw kostek parzystych (np. WuQue Mini) i przy ograniczonej przestrzeni w megaminxach.   
  Magnes neodymowy walcowy&nbsp;3x2 mm  
 3x2 mm są używane w kostkach 3x3 i cienkim plastiku, w celu uzyskania ostrego kliknięcia, oraz w zewnętrznych warstwach większych kości i w megaminxach - w obu przypadkach z powodu ograniczonej przestrzeni.   
  Magnes neodymowy walcowy&nbsp;4x1 mm  
 4x1 mm są używane do wewnętrznych warstw kostek patrzystych, szczeg&oacute;lnie takich posiadających sloty (AoSu GTS 2, AoShi GTS), oraz do kostek 3x3 o cienkim plastiku w celu osiągnięcia lekkiego przyciągania.   
  Magnes neodymowy walcowy 4x1.5 mm  
 4x1.5 mm to standardowe magnesy używane przez firmę MoYu w celu magnesowania własnych produkt&oacute;w, idealnie wypełniają sloty kostek takich jak: MF3RS3, AoSu GTS 2, AoChuang GTS, AoShi GTS, AoFu GTS, WeiLong GTS3 i GTS2. Dadzą też średnią siłę przy kostkach o plastiku o grubości ~1 mm.   
  Magnes neodymowy walcowy 4x2 mm  
 4x2 mm służą do magnetyzacji kostek z nieco grubszym plastikiem, oraz kostek 2x2 o bardzo grubym plastiku - np. WeiPo.   
  Magnes neodymowy walcowy&nbsp;5x1&nbsp;mm  
 5x1 mm mają podobną siłę przyciągania do magnes&oacute;w 4x1.5 mm, ale wklejone w tym samym miejscu dają znacznie gładszą charakterystykę ""kliknięcia"", co jest idealnym wyborem dla os&oacute;b szukających gładszej magnetycznej kostki.   
  Magnes neodymowy walcowy&nbsp;5x3 mm  
 5x3 mm polecamy tylko dla specyficznych zastosowań, gdzie potrzeba dużo wyższej siły, lub kiedy grubość plastiku znacznie osłabia oddziaływanie między magnesami - przykładowo slash w square-1, magnesowanie megaminxa center-krawędź, wymiana magnes&oacute;w w pyraminxie.",https://strefa-kostek.pl/17335-home_default/magnesy-neodymowe-walcowe-50-szt.jpg,https://strefa-kostek.pl/17335-thickbox_default/magnesy-neodymowe-walcowe-50-szt.jpg,https://strefa-kostek.pl/17334-thickbox_default/magnesy-neodymowe-walcowe-50-szt.jpg,Akcesoria_Inne-images\image_2_1.jpg,Akcesoria_Inne-images\image_2_2.jpg,Akcesoria_Inne-images\image_2_3.jpg
Akcesoria-Inne,Logo na kostkę - 5 szt,"0,99 zł",,https://strefa-kostek.pl/21967-home_default/logo-na-kostke-5-szt.jpg,https://strefa-kostek.pl/21967-thickbox_default/logo-na-kostke-5-szt.jpg,https://strefa-kostek.pl/15263-thickbox_default/logo-na-kostke-5-szt.jpg,Akcesoria_Inne-images\image_3_1.jpg,Akcesoria_Inne-images\image_3_2.jpg,Akcesoria_Inne-images\image_3_3.jpg
Akcesoria-Inne,Izopropanol IPA w butelce z atomizerem,"9,99 zł","Izopropanol jest idealnym środkiem do czyszczenia plastiku. Z łatwością zmywa smar, klej i brud z powierzchni, bez ich uszkadzania, przez co idealnie nadaje się do kostek. Butelka ma pojemność 125ml.",https://strefa-kostek.pl/28589-home_default/izopropanol-ipa-w-butelce-z-atomizerem.jpg,https://strefa-kostek.pl/28589-thickbox_default/izopropanol-ipa-w-butelce-z-atomizerem.jpg,,Akcesoria_Inne-images\image_4_1.jpg,Akcesoria_Inne-images\image_4_2.jpg,
Akcesoria-Inne,Walizka na kostki,"109,99 zł","Twarda, wytrzymała walizka.&nbsp;W zestawie dodatkowo kluczyki do zamknięcia walizki. 
  WYMIARY :  
  - ZEWNĘTRZNE : 33 x 21 x 9 cm  
  - WEWNĘTRZNE : 31,5 x 19,5 x 8 cm",https://strefa-kostek.pl/18280-home_default/walizka-na-kostki.jpg,https://strefa-kostek.pl/18280-thickbox_default/walizka-na-kostki.jpg,https://strefa-kostek.pl/18279-thickbox_default/walizka-na-kostki.jpg,Akcesoria_Inne-images\image_5_1.jpg,Akcesoria_Inne-images\image_5_2.jpg,Akcesoria_Inne-images\image_5_3.jpg
Akcesoria-Inne,Plecak MoFangGe,"169,99 zł","Pojemny plecak z logiem firmy  MoFangGe&nbsp; oraz nadrukiem &bdquo; Cube Forever &rdquo;.&nbsp;   Plecak jest wyposażony w dwie komory. Większa z nich ma w sobie mniejsze komory: jedna oddzielana zamkiem błyskawicznym, dwie pozostałe zabezpieczone gumowo-materiałowym paskiem z rzepem (większa kieszeń np. na laptopa, a mniejsza np. na zeszyty). Dodatkowo istnieje możliwość zamontowania bocznych osłonek w gł&oacute;wnej kieszeni. Plecak ma duże, wytrzymałe materiałowe ucho w jego g&oacute;rnej części. Ramiączka są regulowane oraz każde z nich posiada mniejsze plastikowe ucho np. na breloczek z kostką. Plecki mają na sobie piankę z materiałem oddychającym. Dodatkowo na pleckach występuje pasek, kt&oacute;ry pomoże w trzymaniu plecaka razem  &nbsp;z walizką podczas dłuższych podr&oacute;ży.   Wykonanie plecaka jest na najwyższym poziomie, a materiał jest dobrej jakości.",https://strefa-kostek.pl/18467-home_default/plecak-mofangge.jpg,https://strefa-kostek.pl/18467-thickbox_default/plecak-mofangge.jpg,,Akcesoria_Inne-images\image_6_1.jpg,Akcesoria_Inne-images\image_6_2.jpg,
Akcesoria-Inne,Plecak MoYu,"139,99 zł",Pojemny plecak z logiem firmy Moyu.&nbsp; Regulowana długość ramion. Dwie oddzielne komory.&nbsp; Siatki na napoje.  Wymiary: 30x45,https://strefa-kostek.pl/24428-home_default/plecak-moyu.jpg,https://strefa-kostek.pl/24428-thickbox_default/plecak-moyu.jpg,,Akcesoria_Inne-images\image_7_1.jpg,Akcesoria_Inne-images\image_7_2.jpg,
Akcesoria-Inne,Pojemnik na 8 kostek z uchwytem,"11,99 zł","Pojemnik na kostki o rozmiarze 85x135x245 mm to dobra opcja do przechowywania kostek. Pomieści w sobie do ośmiu kostek o standardowym rozmiarze 3x3x3, lecz inne układanki r&oacute;wnie dobrze się w nim pomieszczą. Dzięki wygodnemu uchwytowi i przeźroczystemu plastiku, z kt&oacute;rego wykonany jest pojemnik sprawuje się on idealnie w podr&oacute;ży.",https://strefa-kostek.pl/29812-home_default/pojemnik-na-8-kostek-z-uchwytem.jpg,https://strefa-kostek.pl/19268-thickbox_default/pojemnik-na-8-kostek-z-uchwytem.jpg,https://strefa-kostek.pl/29812-thickbox_default/pojemnik-na-8-kostek-z-uchwytem.jpg,Akcesoria_Inne-images\image_8_1.jpg,Akcesoria_Inne-images\image_8_2.jpg,Akcesoria_Inne-images\image_8_3.jpg
